Length,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
45,2.043085,2.106981,2.175173,2.295939,2.441,2.598735,2.752713,2.850807,2.951324
45.5,2.114041,2.179956,2.250293,2.374837,2.5244,2.686987,2.84566,2.946724,3.050268
46,2.18499,2.252911,2.325378,2.453671,2.6077,2.775097,2.938422,3.042427,3.148968
46.5,2.25631,2.326226,2.400814,2.532835,2.6913,2.863471,3.031408,3.138329,3.247837
47,2.32817,2.400092,2.47681,2.612577,2.7755,2.952467,3.125038,3.234886,3.347375
47.5,2.401115,2.475063,2.553931,2.69348,2.8609,3.042704,3.219945,3.332742,3.448234
48,2.475566,2.551572,2.632625,2.776015,2.948,3.134712,3.316691,3.43248,3.551015
48.5,2.552331,2.630444,2.713732,2.861048,3.0377,3.229426,3.41624,3.53508,3.65672
49,2.631991,2.712292,2.797902,2.949299,3.1308,3.327737,3.519578,3.641592,3.76646
49.5,2.71485,2.79742,2.88544,3.04107,3.2276,3.42994,3.626994,3.752297,3.880511
50,2.80066,2.885574,2.976081,3.13608,3.3278,3.535715,3.738145,3.86684,3.998505
50.5,2.889173,2.976497,3.06956,3.234048,3.4311,3.644741,3.852691,3.984869,4.120075
51,2.980535,3.070327,3.166008,3.335092,3.5376,3.757096,3.970687,4.106421,4.245244
51.5,3.075034,3.167371,3.26575,3.439571,3.6477,3.873226,4.092626,4.232023,4.374568
52,3.173182,3.268154,3.369328,3.548053,3.762,3.993768,4.219179,4.362364,4.50876
52.5,3.275745,3.373464,3.477551,3.661388,3.8814,4.119672,4.351347,4.49848,4.648887
53,3.382814,3.483394,3.590514,3.779675,4.006,4.251043,4.489236,4.640477,4.795059
53.5,3.494059,3.597603,3.707865,3.902538,4.1354,4.387451,4.632391,4.787883,4.946784
54,3.609233,3.715835,3.829338,4.029697,4.2693,4.528577,4.78047,4.940342,5.103693
54.5,3.727413,3.837139,3.953952,4.160116,4.4066,4.67325,4.932235,5.096575,5.264463
55,3.848024,3.960933,4.081121,4.293202,4.5467,4.820865,5.08708,5.255972,5.428484
55.5,3.970797,4.086931,4.210535,4.428606,4.6892,4.970965,5.244488,5.417981,5.595166
56,4.095407,4.214808,4.341875,4.566015,4.8338,5.123266,5.404194,5.582349,5.764267
56.5,4.221164,4.343844,4.474383,4.704609,4.9796,5.276779,5.565121,5.747942,5.934596
57,4.347314,4.473289,4.607318,4.843662,5.1259,5.430838,5.726639,5.914155,6.105576
57.5,4.473502,4.602751,4.740248,4.982669,5.2721,5.584736,5.887933,6.080102,6.276246
58,4.599472,4.731982,4.872933,5.121406,5.418,5.738301,6.048861,6.245662,6.446507
58.5,4.724876,4.860627,5.005008,5.259492,5.5632,5.891111,6.208982,6.410382,6.615894
59,4.849452,4.988415,5.136198,5.39664,5.7074,6.042854,6.36797,6.573927,6.784063
59.5,4.972673,5.114823,5.265982,5.532339,5.8501,6.193047,6.52536,6.735847,6.950579
60,5.09411,5.239396,5.393876,5.666051,5.9907,6.341016,6.68041,6.89535,7.114604
60.5,5.212973,5.36134,5.519084,5.796979,6.1284,6.485965,6.832326,7.05165,7.275354
61,5.329248,5.480644,5.641597,5.925116,6.2632,6.6279,6.981122,7.204766,7.432856
61.5,5.44338,5.597732,5.761815,6.05082,6.3954,6.767053,7.126957,7.354806,7.587165
62,5.555138,5.71242,5.87961,6.174063,6.5251,6.903673,7.270234,7.502278,7.738897
62.5,5.665162,5.825317,5.99555,6.29534,6.6527,7.038046,7.411123,7.647269,7.888055
63,5.773573,5.936584,6.109844,6.414944,6.7786,7.170696,7.55027,7.79051,8.035457
63.5,5.88047,6.046305,6.22256,6.532913,6.9028,7.301578,7.687586,7.931881,8.180948
