Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,2.3947,2.5321,2.6777,2.9323,3.2322,3.5504,3.8527,4.0410,4.2304
1,3.1611,3.3262,3.5025,3.8143,4.1873,4.5901,4.9795,5.2254,5.4755
2,3.9411,4.1317,4.3354,4.6959,5.1282,5.5961,6.0499,6.3371,6.6297
3,4.5360,4.7459,4.9703,5.3680,5.8458,6.3642,6.8683,7.1881,7.5145
4,5.0134,5.2389,5.4801,5.9083,6.4237,6.9843,7.5308,7.8782,8.2333
5,5.4038,5.6423,5.8975,6.3513,6.8985,7.4950,8.0779,8.4492,8.8294
6,5.7294,5.9789,6.2462,6.7221,7.2970,7.9251,8.5403,8.9329,9.3355
7,6.0084,6.2678,6.5461,7.0420,7.6422,8.2994,8.9444,9.3569,9.7804
8,6.2534,6.5221,6.8104,7.3249,7.9487,8.6331,9.3064,9.7376,10.1811
9,6.4729,6.7500,7.0477,7.5795,8.2254,8.9354,9.6353,10.0843,10.5466
10,6.6738,6.9589,7.2653,7.8134,8.4800,9.2141,9.9391,10.4049,10.8851
11,6.8623,7.1548,7.4696,8.0330,8.7192,9.4761,10.2250,10.7067,11.2039
12,7.0426,7.3424,7.6650,8.2431,8.9481,9.7268,10.4984,10.9953,11.5087
13,7.2178,7.5245,7.8548,8.4470,9.1699,9.9694,10.7626,11.2740,11.8028
14,7.3897,7.7031,8.0408,8.6467,9.3870,10.2067,11.0207,11.5461,12.0898
15,7.5595,7.8796,8.2245,8.8437,9.6008,10.4399,11.2740,11.8129,12.3707
16,7.7276,8.0542,8.4063,9.0386,9.8124,10.6706,11.5245,12.0765,12.6484
17,7.8945,8.2277,8.5869,9.2323,10.0226,10.8998,11.7732,12.3381,12.9237
18,8.0603,8.4000,8.7663,9.4248,10.2315,11.1275,12.0202,12.5980,13.1972
19,8.2246,8.5708,8.9444,9.6160,10.4393,11.3542,12.2664,12.8571,13.4699
20,8.3879,8.7408,9.1216,9.8065,10.6464,11.5803,12.5121,13.1157,13.7422
21,8.5503,8.9099,9.2981,9.9965,10.8534,11.8067,12.7583,13.3751,14.0155
22,8.7124,9.0789,9.4746,10.1867,11.0608,12.0338,13.0055,13.6357,14.2902
23,8.8741,9.2476,9.6510,10.3771,11.2688,12.2618,13.2542,13.8980,14.5669
24,9.0359,9.4165,9.8277,10.5680,11.4775,12.4909,13.5042,14.1618,14.8453
